# game instances,# players,avg %error
195,40,35.67162698
200,40,35.67162698
205,40,35.67162698
210,40,35.67162698
215,40,35.67162698
220,40,35.67162698
225,40,35.67162698
230,40,35.67162698
235,40,0
240,40,0
245,40,35.67162698
250,40,35.67162698
255,40,35.67162698
260,40,35.67162698
265,40,35.67162698
270,40,0
275,40,0
280,40,0
285,40,35.67162698
290,40,0
295,40,0
300,40,0
305,40,35.67162698
310,40,0
315,40,0
320,40,0
325,40,0
330,40,35.67162698
335,40,0
340,40,35.67162698
345,40,0
350,40,35.67162698
355,40,0
360,40,0
365,40,0
370,40,0
375,40,0
380,40,0
385,40,0
390,40,0
395,40,0
400,40,0
405,40,0
410,40,0
415,40,0
420,40,0
425,40,0
430,40,0
435,40,0
440,40,0
445,40,0
450,40,0
455,40,0
460,40,0
465,40,0
470,40,0
475,40,0
480,40,0
485,40,0
490,40,0
495,40,0
500,40,0
5,50,59.25213675
10,50,60.1099537
15,50,57.08373826
20,50,44.7952381
25,50,48.96349206
30,50,48.65714286
35,50,38.60238095
40,50,39.58095238
45,50,36.44206349
50,50,40.93412698
55,50,50.13650794
60,50,19.87539683
65,50,34.39920635
70,50,39.9468254
75,50,47.60714286
80,50,59.77539683
85,50,52.06904762
90,50,37.30793651
95,50,55.24365079
100,50,57.47380952
105,50,60.89047619
110,50,34.9452381
115,50,50.0468254
120,50,33.61190476
125,50,34.11190476
130,50,34.11190476
135,50,34.11190476
140,50,34.11190476
145,50,34.11190476
150,50,34.11190476
155,50,34.11190476
160,50,34.11190476
165,50,34.11190476
170,50,34.11190476
175,50,34.11190476
180,50,34.11190476
185,50,34.11190476
190,50,34.11190476
195,50,34.11190476
200,50,34.11190476
205,50,34.11190476
210,50,34.11190476
215,50,34.11190476
220,50,34.11190476
225,50,34.11190476
230,50,34.11190476
235,50,34.11190476
240,50,34.11190476
245,50,34.11190476
250,50,34.11190476
255,50,34.11190476
260,50,34.11190476
265,50,34.11190476
270,50,34.11190476
275,50,34.11190476
280,50,34.11190476
285,50,34.11190476
290,50,34.11190476
295,50,34.11190476
300,50,34.11190476
305,50,34.11190476
310,50,34.11190476
315,50,34.11190476
320,50,34.11190476
325,50,34.11190476
330,50,34.11190476
335,50,34.11190476
